crop_name,soil_texture,soil_ph_min,soil_ph_max,organic_matter,drainage_status,rainfall_min,rainfall_max,temperature_min,temperature_max
Cashew,Sandy loam,5.5,7.0,Medium,Well-drained,600,4000,23,28
Arecanut,Loam,6.0,7.0,High,Well-drained,750,4500,15,35
Coconut,Sandy loam,5.5,7.5,High,Well-drained,1000,3000,20,32
Tea,Loam,4.5,5.5,High,Well-drained,2000,2500,18,30
Coffee,Loam,6.0,6.5,High,Well-drained,1500,2500,15,28
Rubber,Loam,4.5,6.0,High,Well-drained,2000,3000,24,34
Cardamom,Loam,4.5,6.0,High,Well-drained,1500,3000,10,35
Turmeric,Loam,6.0,7.5,High,Well-drained,1500,2250,20,32
Ginger,Loam,5.5,6.5,High,Well-drained,1500,3000,20,30
Cotton,Black soil,6.0,8.0,Medium,Well-drained,500,1000,21,37
Sorghum,Loam,6.0,7.5,Medium,Well-drained,450,700,26,33
Pearl millet,Sandy loam,6.0,7.5,Low,Well-drained,300,600,25,35
Finger millet,Loam to sandy loam,5.5,7.5,Medium,Well-drained,500,800,23,34
Foxtail millet,Sandy loam,5.5,7.5,Medium,Well-drained,400,600,25,35
Barnyard millet,Loamy sand,5.5,7.5,Medium,Well-drained,500,700,17,28
Little millet,Loamy sand,5.5,7.5,Medium,Well-drained,450,650,24,34
Kodo millet,Loam,5.5,7.5,Low,Well-drained,500,900,25,35
Amaranth,Sandy loam,5.5,7.5,Medium,Well-drained,300,600,20,30
